Season,State_Name,Crop,Production
Kharif,Andhra Pradesh,Maize,3093938.00
Kharif,Rajasthan,Moong(Green Gram),3031373.00
Whole Year,Madhya Pradesh,Garlic,2986350.00
Rabi,Chhattisgarh,Gram,2963354.00
Kharif,Uttar Pradesh,Urad,2947674.00
Kharif,Tamil Nadu,Cotton(lint),2922520.00
Whole Year,Bihar,Banana,2884412.00
Kharif,Bihar,Mesta,2842240.00
Summer,Gujarat,Groundnut,2842000.00
Kharif,Telangana,Jowar,2776835.00
Kharif,Tamil Nadu,Banana,2762324.00
Whole Year,Karnataka,Potato,2756348.00
Kharif,Puducherry,Sugarcane,2745083.00
Kharif,Arunachal Pradesh,Rice,2709476.60
Kharif,Telangana,Dry chillies,2704232.00
Rabi,Karnataka,Sunflower,2690404.00
Kharif,Rajasthan,Rice,2684728.00
Whole Year,Andhra Pradesh,Tobacco,2631977.00
Whole Year,Rajasthan,Coriander,2537778.00
Rabi,Assam,Rapeseed &Mustard,2495723.00
Whole Year,Meghalaya,Potato,2482811.00
Kharif,Tamil Nadu,Ragi,2470043.00
Rabi,Bihar,Masoor,2435684.00
Kharif,Karnataka,Sunflower,2411252.10
Whole Year,Gujarat,Garlic,2394300.00
Kharif,Uttarakhand,Ragi,2375091.00
Kharif,Maharashtra,Ragi,2370535.00
Kharif,Chhattisgarh,Maize,2350942.00
Rabi,Karnataka,Groundnut,2341898.00
Rabi,Madhya Pradesh,Masoor,2324658.00
Kharif,Madhya Pradesh,Urad,2320760.00
Whole Year,Andhra Pradesh,Mango,2313570.00
Kharif,Chhattisgarh,Sugarcane,2129180.00
Kharif,Karnataka,Potato,2110067.00
Summer,Kerala,Rice,2093790.53
Whole Year,Tamil Nadu,Turmeric,2078659.00
Autumn,Odisha,Maize,2055749.50
Kharif,Uttar Pradesh,Sweet potato,2031340.00
Kharif,Bihar,Rice,1999797.00
Rabi,Gujarat,Gram,1993000.00
Rabi,Telangana,Jowar,1950420.00
Rabi,Karnataka,Rice,1933205.00
Kharif,Gujarat,Jowar,1903600.00
Whole Year,Kerala,Arecanut,1893641.85
Rabi,Maharashtra,Soyabean,1892400.00
Rabi,Uttar Pradesh,Onion,1888696.00
Kharif,Karnataka,Soyabean,1844638.00
Rabi,Haryana,Barley,1816000.00
Rabi,Maharashtra,Safflower,1810405.00
Rabi,Madhya Pradesh,Other  Rabi pulses,1796635.00
Kharif,Gujarat,Sesamum,1796300.00
Whole Year,Odisha,Sweet potato,1757007.00
Kharif,Telangana,Arhar/Tur,1752232.00
Rabi,Haryana,Gram,1693000.00
Summer,Maharashtra,Groundnut,1674790.00
Rabi,Chhattisgarh,Wheat,1674120.00
Whole Year,Maharashtra,Onion,1663240.00
Whole Year,Kerala,Mango,1650151.00
Kharif,Tamil Nadu,Bajra,1642119.00
Whole Year,Uttarakhand,Total foodgrain,1612965.00
Rabi,Telangana,Gram,1604461.00
Kharif,Nagaland,Maize,1603040.00
Kharif,West Bengal,Mesta,1592173.00
Rabi,Bihar,Rapeseed &Mustard,1589462.00
Kharif,Telangana,Soyabean,1572266.00
Whole Year,Andhra Pradesh,Tapioca,1562565.00
Summer,West Bengal,Sesamum,1542963.00
Whole Year,Bihar,Onion,1538998.00
Kharif,Madhya Pradesh,Paddy,1530500.00
Rabi,Bihar,Khesari,1528910.00
Kharif,Andhra Pradesh,Arhar/Tur,1527520.00
Kharif,Telangana,Moong(Green Gram),1514901.00
Whole Year,Gujarat,Tobacco,1494000.00
Whole Year,Odisha,Onion,1492182.00
Summer,West Bengal,Maize,1488272.00
Rabi,Tamil Nadu,Maize,1480719.00
Rabi,Andhra Pradesh,Onion,1447889.00
Kharif,Andhra Pradesh,Sunflower,1447745.00
Kharif,Himachal Pradesh,Rice,1419350.00
Whole Year,Puducherry,Sugarcane,1406296.00
Kharif,Andhra Pradesh,Tomato,1398383.00
Kharif,Rajasthan,Castor seed,1379645.00
Kharif,Andhra Pradesh,Papaya,1376081.00
Kharif,Uttar Pradesh,Groundnut,1372333.00
Whole Year,Tamil Nadu,Mango,1371865.00
Rabi,Maharashtra,Sunflower,1365192.00
Kharif,Tamil Nadu,Urad,1363708.00
Winter,Meghalaya,Rice,1358737.00
Whole Year,Madhya Pradesh,Rice,1355660.00
Whole Year,Tamil Nadu,Jowar,1354892.00
Summer,Uttar Pradesh,Onion,1336367.00
Kharif,Sikkim,Maize,1323547.00
Kharif,Nagaland,Sugarcane,1307450.00
Kharif,Madhya Pradesh,Small millets,1304466.00
Rabi,Uttar Pradesh,Garlic,1299984.00
Kharif,Karnataka,Moong(Green Gram),1291621.00
Kharif,Assam,Sugarcane,1287451.00
Whole Year,Gujarat,Guar seed,1281800.00
Rabi,Assam,Banana,1275249.00
Kharif,Rajasthan,Sesamum,1274338.00
Kharif,West Bengal,Maize,1270641.00
Rabi,Bihar,Gram,1255222.00
Rabi,Punjab,Barley,1249400.00
Rabi,Telangana,Dry chillies,1226972.00
Autumn,Assam,Paddy,1221893.00
Rabi,Assam,Wheat,1218370.00
Summer,Gujarat,Rice,1209200.00
Whole Year,Uttar Pradesh,Onion,1205944.00
Kharif,Meghalaya,Rice,1203248.00
Rabi,Madhya Pradesh,Barley,1200534.00
Summer,Bihar,Moong(Green Gram),1200433.00
Whole Year,Rajasthan,Garlic,1199097.00
Whole Year,Tamil Nadu,Cotton(lint),1192648.00
Kharif,Andhra Pradesh,Bajra,1192328.00
Rabi,West Bengal,Maize,1186253.00
Kharif,Telangana,Castor seed,1185323.00
Rabi,Uttar Pradesh,Tobacco,1179827.00
Whole Year,Kerala,Rubber,1175267.00
Rabi,Andhra Pradesh,Dry chillies,1168344.00
Kharif,Gujarat,Moong(Green Gram),1157000.00
Kharif,Uttarakhand,Potato,1155930.00
Kharif,Rajasthan,Sugarcane,1154200.00
Whole Year,Andhra Pradesh,Sunflower,1150575.00
Summer,Karnataka,Paddy,1143567.00
Whole Year,Andhra Pradesh,Papaya,1143326.00
Whole Year,Andhra Pradesh,Turmeric,1120998.00
Winter,Dadra and Nagar Haveli,Sugarcane,1115995.00
Kharif,Goa,Rice,1115473.00
Autumn,Jharkhand,Rice,1108568.21
Whole Year,Haryana,Cotton(lint),1107000.00
Summer,West Bengal,Groundnut,1095471.00
Rabi,Karnataka,Horse-gram,1090919.00
Whole Year,Karnataka,Dry chillies,1062822.00
Kharif,Arunachal Pradesh,Maize,1058829.00
Whole Year,Madhya Pradesh,Sesamum,1056149.00
Whole Year,Karnataka,Tobacco,1048160.00
Whole Year,Gujarat,Rice,1042300.00
Winter,Odisha,Potato,1031496.50
Rabi,Assam,Pineapple,1027864.00
Whole Year,Andhra Pradesh,Tomato,1020869.00
Whole Year,Madhya Pradesh,Maize,1018820.00
Kharif,Tamil Nadu,Total foodgrain,1017509.00
Summer,Karnataka,Maize,1009289.00
Kharif,Karnataka,Horse-gram,1007288.00
Whole Year,Karnataka,Turmeric,995598.00
Rabi,Karnataka,Onion,992562.00
Kharif,Telangana,Groundnut,983316.00
Kharif,Karnataka,Other Kharif pulses,976976.18
Whole Year,Maharashtra,Grapes,973173.00
